CleanedJuryData.csv,judge,type,code,jcp,age,gender,edu,,NOTES,,
32,PCD,civil,J,NCP,68,F,18,,,,
32,PCD,civil,J,NCP,63,F,14,,code,J,Juror or alternate
32,PCD,civil,J,NCP,55,F,12,,,PP,Prosecution challenge
32,PCD,civil,PP,NCP,41,M,17,,,PD,Defense challenge
32,PCD,civil,PP,NCP,51,F,12,,,PPPD,Challenged by both
32,PCD,civil,J,NCP,62,F,12,,,CP,Excused by judge
32,PCD,civil,J,NCP,54,F,13,,,NI,Not interviewed (e.g. not elegible for CP)
32,PCD,civil,CP,CP,27,M,22,,,,
32,PCD,civil,J,NCP,53,F,16,,jcp,NCP,Not excused by judge (but interviewed)
32,PCD,civil,J,NCP,67,F,20,,,CP,Excused by judge
32,PCD,civil,PP,NCP,46,F,12,,,NI,Not interviewed
32,PCD,civil,J,NCP,29,F,19,,,,
32,PCD,civil,PD,NCP,41,F,22,,,,
32,PCD,civil,J,NCP,43,F,16,,,,
32,PCD,civil,PD,NCP,42,M,12,,,,
32,PCD,civil,PP,NCP,29,M,16,,,,
32,PCD,civil,J,NCP,43,F,14,,,,
32,PCD,civil,PPPD,NCP,39,M,16,,,,
32,PCD,civil,J,NCP,52,F,16,,,,
32,PCD,civil,J,NCP,37,M,16,,,,
32,PCD,civil,J,NCP,59,M,18,,,,
32,PCD,civil,CP,CP,50,M,17,,,,
32,PCD,civil,CP,CP,24,M,18,,,,
32,PCD,civil,PD,NCP,49,M,13,,,,
32,PCD,civil,PD,NCP,45,M,18,,,,
32,PCD,civil,J,NCP,41,M,22,,,,
32,PCD,civil,NI,NI,36,F,13,,,,
32,PCD,civil,NI,NI,52,F,19,,,,
32,PCD,civil,NI,NI,76,F,10,,,,
32,PCD,civil,NI,NI,45,M,14,,,,
32,PCD,civil,NI,NI,54,F,20,,,,
32,PCD,civil,NI,NI,56,M,14,,,,
32,PCD,civil,NI,NI,53,M,13,,,,
32,PCD,civil,NI,NI,57,F,16,,,,
32,PCD,civil,NI,NI,25,M,17,,,,
32,PCD,civil,NI,NI,64,M,15,,,,
32,PCD,civil,NI,NI,26,M,16,,,,
32,PCD,civil,NI,NI,32,M,18,,,,
32,PCD,civil,NI,NI,23,F,14,,,,
32,PCD,civil,NI,NI,35,M,14,,,,
32,PCD,civil,NI,NI,49,M,12,,,,
32,PCD,civil,NI,NI,28,M,12,,,,
32,PCD,civil,NI,NI,25,M,12,,,,
32,PCD,civil,NI,NI,61,M,14,,,,
32,PCD,civil,NI,NI,68,F,11,,,,
32,PCD,civil,NI,NI,65,M,19,,,,
32,PCD,civil,NI,NI,55,M,15,,,,
32,PCD,civil,NI,NI,42,M,22,,,,
32,PCD,civil,NI,NI,48,M,16,,,,
32,PCD,civil,NI,NI,62,M,15,,,,
32,PCD,civil,NI,NI,56,M,12,,,,
32,PCD,civil,NI,NI,61,M,15,,,,
32,PCD,civil,NI,NI,43,M,16,,,,
32,PCD,civil,NI,NI,46,F,14,,,,
32,PCD,civil,NI,NI,59,M,17,,,,
32,PCD,civil,NI,NI,35,M,13,,,,
32,PCD,civil,NI,NI,50,M,16,,,,
32,PCD,civil,NI,NI,53,M,16,,,,
32,PCD,civil,NI,NI,72,M,22,,,,
32,PCD,civil,NI,NI,55,M,12,,,,
32,PCD,civil,NI,NI,61,F,12,,,,
32,PCD,civil,NI,NI,31,M,12,,,,
